code,count,cumsum,cumperc,low_use
C,30302,2132009,0.782059441402096,TRUE
B,27957,2159966,0.7923145743791512,TRUE
Second Home Class B,15488,2216965,0.8132228379467431,TRUE
Second Home - Class B,14816,2231781,0.8186576145747093,TRUE
Empty Unoccupied & Unfurnished,13941,2245722,0.8237714253853515,TRUE
PCLC,13382,2259104,0.8286801848909835,TRUE
second home - class B,13239,2272343,0.8335364894116128,TRUE
Long Term Empty Premium,11015,2283358,0.837576990529124,TRUE
Long Term Empty Class C,10733,2294091,0.8415140489489378,TRUE
Long Term Empty,9609,2313505,0.8486354550946813,TRUE
Empty Class B,9240,2332335,0.8555426394834909,TRUE
PCLB0,8902,2350396,0.8621677407711323,TRUE
SH,8551,2358947,0.8653044021470596,TRUE
PCLC0,6663,2365610,0.8677485109937212,TRUE
PCLB00,6530,2372140,0.8701438330361495,TRUE
Empty & Unfurnished Prop eff Apr 13,6492,2378632,0.8725252159916541,TRUE
0% Disc Empty and Unfurn,6462,2385094,0.8748955944048505,TRUE
Second Home Premium,5695,2397238,0.8793502331312288,TRUE
Empty Unoccupied and Unfurnished,5439,2402677,0.881345356651714,TRUE
Empty/Unfurnished < 3 Months,5170,2413066,0.8851562296530598,TRUE
Long Term Empty Home,5118,2423343,0.8889260190297882,TRUE
PCLC00,4813,2428156,0.8906915144341079,TRUE
Long term empty home,4563,2432719,0.8923653053191922,TRUE
PCLB-2H,4505,2437224,0.8940178207558139,TRUE
EMPTY UNFURNISHED PROPERTIES LONG TERM,4359,2441583,0.8956167807532023,TRUE
Second home class B,4233,2445816,0.8971695216728959,TRUE
Empty And Unfurnished LONG TERM,4213,2450029,0.8987149262310506,TRUE
PCLB0%,4029,2454058,0.9001928362630481,TRUE
BV,4005,2458063,0.9016619426611991,TRUE
Empty Unfurnished Property (0%),3824,2461887,0.9030646549874236,TRUE
C1,3795,2465682,0.9044567295894168,TRUE
Discount Class B (Furnished & Unocc),3763,2469445,0.9058370660129479,TRUE
EMPTY UNFURNISHED <28 days,3638,2473083,0.9071715501768614,TRUE
empty unoccupied unfurnished,3497,2476580,0.9084543129919259,TRUE
Empty/Unoccupied/Unfurnished,3444,2480024,0.9097176344489127,TRUE
PCLCLTE - PCLC Long Term Empty Property,3428,2483452,0.9109750868166684,TRUE
Class C,3368,2486820,0.9122105300998076,TRUE
PCLB2ND0 - PCLB 2nd Home,3361,2490181,0.9134434056564081,TRUE
PCLCUNF,3356,2493537,0.914674447122624,TRUE
PCLB,3203,2496740,0.9158493654230678,TRUE
ZERO,2985,2502764,0.9180590775185637,TRUE
PREM50,2946,2505710,0.9191397235732336,TRUE
Empty & unoccupied,2774,2508484,0.9201572769186694,TRUE
Prescribed Class C (0% - After 1 Month),2725,2511209,0.9211568561783352,TRUE
PREM,2604,2513813,0.922112050450691,TRUE
EMPTY,2587,2516400,0.9230610088157388,TRUE
Furnished Let / 2nd Home (0%),2566,2518966,0.9240022640011709,TRUE
Prescribed Class C Discount,2502,2523980,0.9258414898389559,TRUE
PCLCZERO,2467,2526447,0.9267464300347706,TRUE
unocc & unfurn,2368,2528815,0.9276150552409683,TRUE
Unoccupied/Unfurnished >1 month,2364,2531179,0.9284822131748581,TRUE
Empty unfurnished,2290,2533469,0.9293222265710543,TRUE
A,2272,2535741,0.9301556372418656,TRUE
2nd Home,2233,2537974,0.930974742007676,TRUE
PCLC1,2202,2540176,0.9317824754131013,TRUE
Unfurnished and Unoccupied (old CLASS C),2170,2542346,0.9325784706400645,TRUE
long term empty - class C,2153,2544499,0.9333682299597197,TRUE
PCLBUL,2119,2546618,0.9341455174647588,TRUE
50% Charge on long term empty property,2075,2548693,0.9349066649744127,TRUE
Class B,2028,2550721,0.9356505720344501,TRUE
Unoccupied & Unfurnished,2022,2552743,0.9363922781860259,TRUE
Empty Class A,1968,2554711,0.9371141761614469,TRUE
Zero occupiers discount,1819,2560396,0.9391995369288597,TRUE
Prescribed Class B Discount (0%),1812,2562208,0.9398642112842778,TRUE
Discount (25%) - unfurnished up to 6 months,1801,2564009,0.9405248506408496,TRUE
Empty class C,1793,2565802,0.9411825554528057,TRUE
Prescribed Class C - Long Term Empty,1781,2567583,0.9418358584478387,TRUE
D,1726,2569309,0.9424689864486397,TRUE
Prescribed Class B Discount - 0%,1718,2571027,0.9430991799048254,TRUE
PCLC_FULL,1677,2572704,0.9437143338198564,TRUE
EMPTY UNOCCUPIED,1671,2574375,0.9443272868264257,TRUE
Unnocupied furnished lets,1670,2576045,0.9449398730149181,TRUE
2nd Home Occupancy Allowed,1658,2577703,0.9455480573864873,TRUE
Second home discount class B,1629,2579332,0.9461456040338251,TRUE
Second Home Discount,1614,2580946,0.9467376484100087,TRUE
SECOND HOME DISCOUNT 0% (NPR),1588,2584137,0.9479081648935292,TRUE
PCLBZERO,1557,2585694,0.9484793006393272,TRUE
Second or Holiday Home,1545,2587239,0.9490460345682019,TRUE
PCLB_2ND0%,1534,2588773,0.9496087334982303,TRUE
Second Home,1532,2590305,0.9501706987921048,TRUE
PCLCEMPTY,1467,2591772,0.950708820910978,TRUE
Empty Uninhabitable/Major Works,1459,2593231,0.9512440084852357,TRUE
25% Discount: Empty for 1 to 6 months,1449,2594680,0.9517755278787241,TRUE
Empty class B,1426,2596106,0.9522986104564427,TRUE
Empty Property 0%,1422,2597528,0.9528202257618537,TRUE
C2,1416,2598944,0.9533396401588029,TRUE
PCLCX,1416,2600360,0.9538590545557522,TRUE
2NDHOME,1411,2601771,0.9543766348623167,TRUE
Unoccupied Furnished Property eff Apr 13,1340,2603111,0.9548681710854183,TRUE
50% Premium Empty and Unfurn over 2 yrs,1335,2604446,0.9553578732181354,TRUE
Long term empty class C,1335,2605781,0.9558475753508523,TRUE
LONG TERM EMPTYC,1329,2607110,0.9563350765751076,TRUE
PCLB2ND,1317,2608427,0.9568181759824397,TRUE
Unfurnished for more than 6 months - no discount,1287,2609714,0.9572902708474634,TRUE
Empty & Unfurnished,1271,2610985,0.9577564966232562,TRUE
Empty Homes Discount 0%,1261,2612246,0.9582190542182795,TRUE
PREM100,1261,2613507,0.9586816118133028,TRUE
2nd Home Not Restricted (0%),1246,2614753,0.959138667137172,TRUE
L,1181,2615934,0.9595718792860399,TRUE
Second home Discount 0% (NPR),1174,2617108,0.9600025237083694,TRUE
Holiday/Second Home,1148,2618256,0.9604236308606983,TRUE
class c,1133,2620529,0.9612574083495864,TRUE
PCLCCC,1105,2621634,0.9616627423246068,TRUE
LEVY,1101,2622735,0.9620666090273196,TRUE
Class B Second Home,1092,2623827,0.9624671743673396,TRUE
Furnished but unoccupied,1081,2624908,0.9628637047085136,TRUE
Second Home Class A,1080,2625988,0.9632598682316104,TRUE
LONG TERM EMPTY (0%),1070,2627058,0.9636523635739379,TRUE
CU,1069,2628127,0.9640444920981884,TRUE
long term empty premium,1060,2630256,0.9648254477839969,TRUE
C3,1045,2631301,0.9652087726744009,TRUE
Full charge: Empty for 6 months or more,1034,2632335,0.9655880625659585,TRUE
Class B - Second Home Discount,1031,2634399,0.9663451750767659,TRUE
PRESCRIBED CLASS C DISCOUNT (0%),1023,2635422,0.966720429969477,TRUE
DISCOUNT 10% 2ND HOME (NPR),986,2636408,0.9670821125933414,TRUE
50% Levy - long term empty,952,2637360,0.9674313234025899,TRUE
PCLB1,950,2638310,0.9677798005756842,TRUE
PCLC - EMPTY & UNFURNISHED MORE THAN 1 MONTH 0% DISCOUNT,936,2639246,0.9681231422957016,TRUE
EMPTY UNFURNISHED PROPERTIES <28 days,902,2640148,0.9684540122011028,TRUE
Long term empty premium,897,2641045,0.9687830480161195,TRUE
PCLCN,889,2641934,0.9691091492865205,TRUE
Vacant up to 6 months,884,2642818,0.9694334164665368,TRUE
Unoccupied & Unfurnished < 6 months,876,2643694,0.9697547491019376,TRUE
Empty and Furnished Property (0%),860,2645424,0.9703893443750465,TRUE
PCLB02,848,2646272,0.970700406104293,TRUE
PCLC100,847,2647119,0.9710111010154625,TRUE
Unfurnished up to six months,845,2648811,0.9716317572016476,TRUE
EMPTY UP TO 6 MONTHS 0% DISCOUNT,831,2649642,0.971936583023586,TRUE
Prescribed Class C Discount (0%),829,2650471,0.9722406752093706,TRUE
Unoccupied and unfurnished,821,2652114,0.9728433573097856,TRUE
Empty Homes Premium,777,2652891,0.9731283749555691,TRUE
Empty Unoccupied/ Unfurnished,760,2653651,0.9734071566940448,TRUE
PCLC01,759,2654410,0.9736855716144434,TRUE
Second Home - Class B discount,739,2655149,0.9739566501733032,TRUE
Class C Unoccupied  & Unfurnished up to 6 months,725,2656601,0.9744892700210224,TRUE
EMPTY UNOCCUPIED & UNFURNISHED,709,2657310,0.974749344037574,TRUE
Empty & Furnished (0%),709,2658019,0.9750094180541254,TRUE
PCLB05,701,2658720,0.9752665575260615,TRUE
Unocc & Furn- no restriction from 2013,698,2659418,0.9755225965437667,TRUE
Empty Premium >2 years,697,2660115,0.975778268743395,TRUE
Class C discount,695,2660810,0.9760332073068694,TRUE
class b,692,2661502,0.9762870454161129,TRUE
Long Term Empty Premium (150%),689,2662191,0.9765397830711257,TRUE
Long term empty discount class C,685,2662876,0.9767910534538307,TRUE
"Unoccupied, furnished property - no discount",684,2663560,0.9770419570184586,TRUE
LTE,681,2664241,0.9772917601288559,TRUE
UNINHABITABLE,660,2664901,0.9775338600596373,TRUE
50% Empty Homes Premium (150% charge),647,2665548,0.9777711913554185,TRUE
Discount Class C (long term unfurn),643,2666191,0.9780070553788919,TRUE
EMPTY PREMIUM,641,2666832,0.9782421857662115,TRUE
Standard Empty,640,2667472,0.978476949335454,TRUE
Section 12 Class C-Unfurnished empty,639,2668111,0.9787113460866197,TRUE
PREM50 - Empty Homes Premium 50%,626,2668737,0.9789409742027851,TRUE
2NDHOMEB,616,2669353,0.9791669341381811,TRUE
Long Term Empty Class C - 6 to 24 months,615,2669968,0.9793925272555002,TRUE
Unoccupied And Unfurnished,596,2670564,0.9796111508293573,TRUE
long term empty  premium,581,2671145,0.9798242721320604,TRUE
Prescribed Class B - 2nd Home,574,2671719,0.9800348257082249,TRUE
Long Term Empty < 2 YRS,573,2672292,0.9802450124663123,TRUE
C2017,567,2672859,0.9804529983159382,TRUE
"Empty, Unoccupied & Unfurnished Discount",555,2673974,0.980862000471728,TRUE
Class C - Long Term Empty,554,2674528,0.9810652176863537,TRUE
Long Term Empty - Class C,553,2675081,0.9812680680829023,TRUE
Empty unoccupied and unfurnished,536,2675617,0.981464682572143,TRUE
PCLB_2013,512,2676129,0.9816524934275371,TRUE
Empty and unfurnished more than 6 months,504,2677143,0.9820244469575559,TRUE
Unoccupied Furnished Prop,503,2677646,0.9822089564502574,TRUE
2nd home furnished,501,2678147,0.9823927323068051,TRUE
Premium for property unfurnished more than 2 years,500,2678647,0.9825761413452759,TRUE
C6,489,2679136,0.9827555153849004,TRUE
Long Term Empty Homes Premium,485,2679621,0.982933422152217,TRUE
Standard 50% Empty,473,2680575,0.9832833665976193,TRUE
Furnished and Unoccupied,458,2681962,0.9837921432703373,TRUE
PCLA0,451,2682867,0.9841241136299693,TRUE
Long Term Empty Class C Discount,440,2683751,0.9844483808099856,TRUE
EMPTY HOMES PREMIUM,428,2684179,0.9846053789469167,TRUE
Zero Occupancy Discount,426,2684605,0.9847616434476938,TRUE
Long term empty Premium,424,2685029,0.984917174312317,TRUE
PREMIUM,419,2685872,0.9852264019511787,TRUE
Empty Unoccupied Unfurnished,414,2686286,0.9853782646350325,TRUE
uninhabitable/major works,414,2686700,0.9855301273188863,TRUE
LONG TERM EMPTY CLASS C,412,2687112,0.9856812563665862,TRUE
Welsh Prescribed Class C 0%,407,2687519,0.9858305513239015,TRUE
Long Term Empty Property Premium,399,2687918,0.9859769117366012,TRUE
PREMIUM CHARGE,398,2688316,0.9861229053312239,TRUE
Full charge: Second Home (unrestricted),396,2688712,0.9862681652896927,TRUE
EMPTY CLASS B,395,2689107,0.9864130584300846,TRUE
Empty and unfurnished less than 6 months,395,2689502,0.9865579515704765,TRUE
Empty Empty Class C,393,2689895,0.9867021110747146,TRUE
Unoccupied/Furnished,391,2690286,0.9868455369427988,TRUE
EMPTY > 6 MONTHS BEFORE 1/4/04,387,2690673,0.9869874955385751,TRUE
PCLD100,374,2691429,0.987264810004743,TRUE
Premium,369,2691798,0.9874001658751344,TRUE
Empty Home Premium,360,2692158,0.9875322203828334,TRUE
Empty and Unfurnished 100%,358,2692516,0.9876635412543784,TRUE
Empty unoccupied unfurnished discount class C3,356,2692872,0.9877941284897697,TRUE
Long Term Empty Charge (0% Discount),348,2693220,0.9879217811805453,TRUE
CE,342,2693562,0.9880472329628593,TRUE
2nd Home_2013 Scheme,339,2693901,0.9881715842909425,TRUE
PCLC24,327,2694560,0.988413317403647,TRUE
Uninhabitable,318,2694878,0.9885299655521144,TRUE
Unoccupied Unfurnished up to 6 Months,318,2695196,0.9886466137005818,TRUE
Empty & Unfurn > 6 Months (Pre Apr 04),316,2695512,0.9887625282128953,TRUE
PREM200,309,2696134,0.988990689056753,TRUE
2 Year Empty Property Premium,308,2696442,0.989103669024451,TRUE
PCLB2013,308,2696750,0.989216648992149,TRUE
Unoccupied But Furnished,307,2697057,0.9893292621417701,TRUE
Long Term Empty Premium 50%,303,2697360,0.9894404080190834,TRUE
Empty Unoccupied,300,2697660,0.9895504534421659,TRUE
PCLB2H,286,2697946,0.9896553634121711,TRUE
Second Home Discount effective Apr 13,284,2698230,0.9897595397460225,TRUE
100% Discount: Empty for up to 1 month,280,2698792,0.9899656915052637,TRUE
AE,277,2699069,0.9900673001125765,TRUE
PCLB2HOME,275,2699344,0.9901681750837354,TRUE
PCLB00 - EMPTY & FURNISHED 0% DISCOUNT,273,2699617,0.9902683164187405,TRUE
Empty Property Premium (over 2 years),272,2699889,0.9903680909356686,TRUE
Empty/Unnoccupied/Unfurnished,271,2700160,0.9904674986345197,TRUE
PCLC20 (EMPTY UNFURNISHED 5MTHS),270,2700430,0.9905665395152939,TRUE
second home - class A,270,2700700,0.9906655803960681,TRUE
PCLCLL4,264,2700964,0.9907624203683807,TRUE
Prescribed Class C. Long Term Empty,260,2701224,0.9908577930683855,TRUE
PCLB13,256,2701480,0.9909516984960826,TRUE
empty and unoccupied premium 25%,255,2701735,0.9910452371057027,TRUE
PREM300,248,2701983,0.9911362079887842,TRUE
PREM150,246,2702229,0.9912264452357118,TRUE
PCLC0 (LONG TERM EMPTY UNFURNISHED),239,2702468,0.9913141147561009,TRUE
PCLD,239,2702707,0.9914017842764898,TRUE
Second Home Disc - Occ Not Restricted,239,2702946,0.9914894537968789,TRUE
C1MTH,236,2703182,0.9915760228630371,TRUE
LONG TERM EMPTY PREMIUM,234,2703651,0.9917480605411227,TRUE
Unocc & Unfurnished for up to 6 months,234,2703885,0.991833895971127,TRUE
"long term empty - class c
",233,2704352,0.9920052000130587,TRUE
2nd Home Class B,232,2704584,0.9920903018069092,TRUE
unocc & furn (other),231,2704815,0.9921750367826827,TRUE
PCLC_EXEMP,230,2705275,0.9923437730980758,TRUE
Empty & Unfurnished  > 3 Months,220,2705720,0.9925070071423148,TRUE
PCLA1,219,2705939,0.992587340301165,TRUE
PCLBFL0,218,2706157,0.9926673066419383,TRUE
PCLC2013,213,2706584,0.9928239379607923,TRUE
Prescribed Class C (100% - 1 Month),206,2706790,0.9928995024846422,TRUE
Empty uninhabitable,205,2706995,0.9929747001904152,TRUE
PCLBX,202,2707399,0.9931228946934997,TRUE
PREMLTE,202,2707601,0.9931969919450419,TRUE
Long Term Empty Premium - Vacant 2 years or more,200,2707801,0.9932703555604302,TRUE
Long Term Empty Property,200,2708001,0.9933437191758184,TRUE
B 2nd home,197,2708198,0.9934159823369759,TRUE
PREM>2YR,197,2708395,0.9934882454981334,TRUE
2nd Home (0%),196,2708591,0.993560141841214,TRUE
Empty & Unfurnished  < 3 Months,196,2708787,0.9936320381842946,TRUE
PREM - EMPTY MORE THAN 2 YEARS 50% PREMIUM,196,2708983,0.993703934527375,TRUE
LEVY  Class C,195,2709178,0.9937754640523787,TRUE
standard empty,194,2709372,0.9938466267593054,TRUE
Long term empty,191,2709563,0.9939166890120011,TRUE
Prescribed Class C Discount (100%),186,2709749,0.9939849171743124,TRUE
PCLA2,184,2709933,0.9940524117004695,TRUE
75% Discount: Major Repairs/Alterations,177,2710289,0.9941829989358607,TRUE
PREM+100,177,2710466,0.9942479257354794,TRUE
Prescribed Class B 2nd Home,177,2710643,0.994312852535098,TRUE
Second home class A,172,2710815,0.994375945244332,TRUE
BE,171,2710986,0.994438671135489,TRUE
PCLC(F),169,2711155,0.9945006633904921,TRUE
2nd Home Restricted Use (0%),168,2711323,0.9945622888274184,TRUE
Unocc & unfurn < 30 days,168,2711491,0.9946239142643445,TRUE
Empty 2nd Home Class B,165,2711656,0.9946844392470399,TRUE
PCLD - UNINHABITABLE UP TO 12 MONTHS 50% DISCOUNT,165,2711821,0.9947449642297352,TRUE
Premium of 50% charge for empty > 2 yrs,165,2711986,0.9948054892124306,TRUE
Unoccupied Furnished Discount 0%,162,2712148,0.9948649137408951,TRUE
Empty Homes Premium 2-5 Years (100%),159,2712307,0.9949232378151288,TRUE
L5,157,2712464,0.9949808282532087,TRUE
PCLC100%,152,2712770,0.9950930745847527,TRUE
2nd Home Discount,150,2713071,0.9952034868259122,TRUE
Unoccupied & Unfurnished > 24months,150,2713221,0.9952585095374534,TRUE
Discount Class D Structural Alteration up to 12 months,148,2713369,0.9953127986128407,TRUE
Empty/Unoccupied/Major Works,148,2713517,0.9953670876882281,TRUE
Occupied - Not main Residence,147,2713664,0.9954210099455385,TRUE
Long term empty levy,144,2713808,0.9954738317486181,TRUE
PREM100%+,141,2713949,0.9955255530974668,TRUE
Section 12 Class B-Furnished empty,140,2714089,0.9955769076282387,TRUE
PCLB2,138,2714227,0.9956275285228566,TRUE
Long Term Empty Empty Premium,134,2714498,0.9957269362217078,TRUE
PRESCRIBED CLASS A DISCOUNT (0%),131,2714629,0.9957749893897871,TRUE
Empty/Uninhabitable/Major Works,128,2715013,0.9959158475313327,TRUE
unocc furn let,126,2715266,0.9960086525047989,TRUE
LEV2,125,2715516,0.9961003570240343,TRUE
Second Home - Class A,124,2715764,0.9961913279071158,TRUE
PCLC1M,122,2715886,0.9962360797125026,TRUE
Holiday home,121,2716007,0.9962804646998126,TRUE
PCLD50,119,2716126,0.9963241160509686,TRUE
Long Term Empty Premium  +50%,116,2716242,0.9963666669478939,TRUE
PCLC_M1,111,2716353,0.9964073837544344,TRUE
long term empty  premium - exception,111,2716464,0.9964481005609749,TRUE
LTE > 2 YRS 100% Premium,109,2716793,0.9965687837082886,TRUE
Standard empty,109,2716902,0.9966087668786753,TRUE
"second home - class B
",109,2717011,0.996648750049062,TRUE
Long Term Empty +2 years,108,2717227,0.9967279827536812,TRUE
PREM (EMPTY PREMIUM),106,2717333,0.9967668654698371,TRUE
empty unoccupied,105,2717544,0.9968442640840718,TRUE
EMPTY HOMES PREMIUM 1st April 2019,103,2717647,0.9968820463459968,TRUE
Empty Homes Premium 150%,92,2718217,0.9970911326498534,TRUE
L10,90,2718307,0.9971241462767781,TRUE
Unoccupied/Unfurnished Month 1,90,2718397,0.9971571599037029,TRUE
Discount Class A (Planning Condition),89,2718575,0.9972224535213985,TRUE
PCLB0 (FURNISHED UNOCCUPIED),89,2718753,0.9972877471390941,TRUE
Long Term Empty Over 2 Years 100%,87,2718840,0.997319660311788,TRUE
PRESCRIBED CLASS B DISCOUNT (0%),86,2718926,0.997351206666405,TRUE
Prescribed Class B Discount 0%-deceased,85,2719096,0.997413565739485,TRUE
Long Term Empty premium,82,2719428,0.9975353493410297,TRUE
Vacant Undergoing Major Works,82,2719510,0.9975654284233388,TRUE
PCLC99,80,2719671,0.9976244861337265,TRUE
PREMEMPTY,80,2719751,0.9976538315798817,TRUE
Prescribed Class B - Empty Property,79,2719909,0.9977117888360385,TRUE
PCLC100 (EMPTY UNFURNISHED 1MTH),76,2720061,0.9977675451837337,TRUE
Unoccupied & Unfurnished  -Uninhabitable,75,2720211,0.9978225678952749,TRUE
Empty,72,2720357,0.9978761233345084,TRUE
PCLC28,72,2720429,0.9979025342360481,TRUE
Prescribed Class C Discount 0%-deceased,71,2720571,0.9979546224029738,TRUE
PREM2,70,2720711,0.9980059769337457,TRUE
Uninhabitable Was Exemp A (100%),67,2720778,0.9980305537449008,TRUE
PCLC100 - EMPTY & UNFURNISHED LESS THAN 1 MONTH 100% DISCOUNT,66,2720910,0.998078973731057,TRUE
Prescribed Class D Discount (100%),66,2720976,0.9981031837241352,TRUE
Empty Homes Premium (200%),65,2721041,0.9981270268991363,TRUE
Empty (Structural Reps) upto 12 months,63,2721104,0.9981501364379837,TRUE
Unoccupied - Major Works,63,2721167,0.998173245976831,TRUE
Empty Uninhabitable/ Major works,62,2721229,0.9981959886976014,TRUE
PCLB14,60,2721289,0.9982179977822179,TRUE
Premium Sale,60,2721349,0.9982400068668345,TRUE
Second Home discount,60,2721409,0.9982620159514509,TRUE
PCLD0,58,2721526,0.998304933666453,TRUE
Second Home - work related,56,2721695,0.9983669259214561,TRUE
CLASS T (Unoccupied Granny Annexe),52,2722018,0.9984854081603083,TRUE
PCLC10,52,2722070,0.9985044827003092,TRUE
Empty & Unfurnished (1 Month),49,2722368,0.9986137944872379,TRUE
Structural or Major Repairs,49,2722417,0.998631768573008,TRUE
2nd Home Restricted,47,2722464,0.9986490090226242,TRUE
Class C Premium Exception,45,2722600,0.9986988962810883,TRUE
Discount Class B Exceptions (Tied),44,2722644,0.9987150362764737,TRUE
Resident in Hostel/Night Shelter,44,2722688,0.9987311762718591,TRUE
PCLD_50,42,2722858,0.9987935353449392,TRUE
Unoccupied & Unfurnished < 7 days,41,2722981,0.998838653968403,TRUE
PCLC2 (2ND HOME),40,2723021,0.9988533266914806,TRUE
PCLDABX,40,2723061,0.9988679994145584,TRUE
PCLA2ND0 - PCLA 2nd Home (Occupancy Restricted),38,2723255,0.998939162121485,TRUE
ZERO - Zero Occupancy Discount (Tied Accom),38,2723293,0.9989531012084087,TRUE
Empty Homes Premium 5-10 Years (200%),37,2723330,0.9989666734772557,TRUE
PREM200%+,37,2723404,0.9989938180149494,TRUE
Second Home (Job Related),36,2723440,0.9990070234657192,TRUE
Discount (25%) - major/structural repairs,35,2723475,0.9990198620984122,TRUE
PCLD00,35,2723510,0.9990327007311051,TRUE
Annexe + Second Home - Class B,32,2723642,0.9990811207172614,TRUE
PCLDA100,32,2723674,0.9990928588957235,TRUE
PCLCSALE,31,2723705,0.9991042302561087,TRUE
PCLDUN0,31,2723736,0.9991156016164939,TRUE
Premium Exception,31,2723767,0.9991269729768791,TRUE
PCLA2013,30,2723797,0.9991379775191873,TRUE
Second Home (Job Related) discount,28,2723825,0.9991482484253417,TRUE
Empty Less than 6 Months,27,2723907,0.9991783275076509,TRUE
PCLDA,27,2723934,0.9991882315957283,TRUE
PCLDSA3M25,25,2724061,0.9992348174914999,TRUE
Requiring major/structural alterations,25,2724086,0.9992439879434234,TRUE
Second home discount class A,25,2724111,0.999253158395347,TRUE
Empty Property 0% No Premium,21,2724472,0.9993855797211229,TRUE
Second Home Discount Job Related,21,2724493,0.9993932829007387,TRUE
Major Repairs / Structural Alt < 12 mnth,20,2724554,0.9994156588034321,TRUE
Second home (living in tied accommodation),20,2724574,0.9994229951649709,TRUE
CLASS B (Charity),19,2724612,0.9994369342518947,TRUE
PCLD (MAJOR ALTERATIONS/REPAIR),19,2724631,0.9994439037953566,TRUE
Empty Homes Premium Over 10 Years (300%),18,2724649,0.9994505065207415,TRUE
Holiday Home Planning Restrict,18,2724685,0.9994637119715114,TRUE
Long Term Empty Over 5 Years 200%,18,2724739,0.9994835201476663,TRUE
2nd Home Class A,17,2724756,0.9994897560549743,TRUE
50%  Empty Property Charge/Job Related,17,2724773,0.9994959919622823,TRUE
Empty Uninhabitable/Major Works Discount,17,2724807,0.9995084637768983,TRUE
Second home discount class BE,17,2724824,0.9995146996842064,TRUE
Empty & Unfurn>6 Months - Owned by Chari,16,2724889,0.9995385428592075,TRUE
PCLDZERO,16,2724905,0.9995444119484386,TRUE
PREM300%+,16,2724937,0.9995561501269007,TRUE
Pitch/Mooring unoccupied by Caravan/Boat,16,2724953,0.9995620192161317,TRUE
PCLA,15,2724984,0.999573390576517,TRUE
100% Surcharge for Empty Properties,14,2725028,0.9995895305719024,TRUE
PREM+200,14,2725084,0.9996100723842111,TRUE
Prescribed Class D (0%),14,2725098,0.9996152078372883,TRUE
Unihabitable / works require,14,2725126,0.9996254787434427,TRUE
Empty Uninhabitable,12,2725178,0.9996445532834436,TRUE
DISCOUNT 10% 2ND HOME (PR),11,2725201,0.9996529900992133,TRUE
Less Second Home Discount,11,2725223,0.999661060096906,TRUE
PCLDZERO - PCLD Uninhabitable Property Zero Disc,11,2725245,0.9996691300945987,TRUE
Unocc Furnished Occ Prohib Discount 0%,11,2725278,0.9996812350911378,TRUE
Unoccupied Caravan,11,2725289,0.9996852700899841,TRUE
empty uninhabitable,11,2725300,0.9996893050888305,TRUE
Caravan/Job Related 2nd Home,10,2725310,0.9996929732695999,TRUE
Major Repairs / Structural Alt > 12 mnth,10,2725340,0.9997039778119081,TRUE
PCLBJOB,10,2725350,0.9997076459926776,TRUE
Unnocupied Caravan,10,2725370,0.9997149823542164,TRUE
200% Surcharge for Empty Properties,9,2725389,0.9997219518976783,TRUE
CPREM,8,2725423,0.9997344237122943,TRUE
Class A,8,2725439,0.9997402928015253,TRUE
Second home job related,8,2725447,0.999743227346141,TRUE
2nd Homes Annexe,7,2725484,0.9997567996149878,TRUE
50% Discount: Unoccupied Job Related,7,2725491,0.9997593673415264,TRUE
Empty & Unfurnished NO PREMIUM,7,2725519,0.9997696382476807,TRUE
Empty Homes Premium (300%),7,2725526,0.9997722059742193,TRUE
Major work/Structural Alt after 1 yr,7,2725540,0.9997773414272965,TRUE
PREM5,7,2725561,0.9997850446069122,TRUE
0% Discount Empty Annexe,6,2725588,0.9997949486949896,TRUE
